omitted,n_participants,n_cells,or_default,ci90_low_default,ci90_high_default,default_warning,default_warning_text,or_bobyqa,bobyqa_warning,bobyqa_warning_text,abs_log_or_difference
leaveout_21,35,372,1.66600133346252,0.795812783376408,3.48770527575968,TRUE,"Model failed to converge with max|grad| = 0.00841602 (tol = 0.002, component 1)",1.66753689671916,FALSE,"",0.000921281388855721
leaveout_22,35,378,1.63892267853272,0.779553391516922,3.4456492338287,TRUE,"Model failed to converge with max|grad| = 0.00220893 (tol = 0.002, component 1)",1.63892936461612,FALSE,"",4.07955167741614e-06
leaveout_23,35,376,1.82932604274282,0.880238626324822,3.80173474621213,TRUE,"Model failed to converge with max|grad| = 0.0220476 (tol = 0.002, component 1)",1.82949827267967,FALSE,"",9.41449614040302e-05
leaveout_24,35,382,1.42135180981656,0.716106456990515,2.82114614042025,TRUE,"Model failed to converge with max|grad| = 0.00271833 (tol = 0.002, component 1)",1.42139940289563,FALSE,"",3.34838158594364e-05
leaveout_25,35,372,1.607849476723,0.761509377731757,3.39481037974696,TRUE,"Model failed to converge with max|grad| = 0.0204929 (tol = 0.002, component 1)",1.61154179244547,FALSE,"",0.00229379844367683
leaveout_26,35,385,1.77093680445121,0.869184085694411,3.60823123315042,TRUE,"Model failed to converge with max|grad| = 0.0261583 (tol = 0.002, component 1)",1.77436294611378,FALSE,"",0.00193278028386135
leaveout_27,35,373,1.9861820628279,1.01248362178274,3.89627950697439,TRUE,"Model failed to converge with max|grad| = 0.00326147 (tol = 0.002, component 1)",1.98614239548422,FALSE,"",1.99718548147265e-05
leaveout_28,35,382,1.93231779787469,0.986940655322113,3.78325895467812,FALSE,"",1.93217053410607,FALSE,"",7.62138508555443e-05
leaveout_29,35,376,1.64868301838959,0.788432899909703,3.44754220103895,TRUE,"Model failed to converge with max|grad| = 0.0079789 (tol = 0.002, component 1)",1.64841794255852,FALSE,"",0.000160793275537641
leaveout_30,35,376,1.82902609330867,0.883392696883453,3.78691884346124,FALSE,"",1.82947996056757,FALSE,"",0.000248116173400814
leaveout_31,35,377,1.68940727136611,0.810853649152683,3.5198669100486,TRUE,"Model failed to converge with max|grad| = 0.0063525 (tol = 0.002, component 1)",1.69275391174706,FALSE,"",0.00197899585028749
leaveout_32,35,372,1.56763680095285,0.775466900088393,3.16903937411327,FALSE,"",1.56771323760112,FALSE,"",4.87579679113726e-05
leaveout_33,35,378,1.71414052702668,0.819276544977144,3.58642971583824,TRUE,"Model failed to converge with max|grad| = 0.00899661 (tol = 0.002, component 1)",1.71387375426375,FALSE,"",0.000155642737502903
leaveout_34,35,372,1.68749515621333,0.806551055215966,3.5306381212048,TRUE,"Model failed to converge with max|grad| = 0.00422796 (tol = 0.002, component 1)",1.68731933151197,FALSE,"",0.00010419814313023
leaveout_35,35,376,1.75039377242894,0.838761007724783,3.65286217449363,TRUE,"Model failed to converge with max|grad| = 0.00548365 (tol = 0.002, component 1)",1.75012051000665,FALSE,"",0.00015612701494605
leaveout_36,35,375,1.57951545283069,0.754832450874044,3.30519582569888,TRUE,"Model failed to converge with max|grad| = 0.00394426 (tol = 0.002, component 1)",1.57907789903108,FALSE,"",0.000277056115597252
